project_name,unit_title,price,location,listing_date,property_type,size,bedrooms,bathrooms,rental_period,description,language,keywords,facilities
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM277,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM277,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM250,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM250,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM310,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM310,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM240,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,584 Sqft,2,1,,"This property is a 584 Sqft condo with 2 bedrooms and 1 bathroom that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM240,0...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM250,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM250,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM230,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,500 Sqft,2,2,,"This property is a 500 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM230,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM300,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM300,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM300,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM300,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM250,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM250,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM250,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM250,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM378,800","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,650 Sqft,2,1,,"This property is a 650 Sqft condo with 2 bedrooms and 1 bathroom that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM378,8...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM275,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM275,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM280,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM280,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM267,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM267,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM240,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"7,535 Sqft",2,2,,"This property is a 7,535 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM24...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM300,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM300,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM220,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,500 Sqft,2,2,,"This property is a 500 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM220,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM280,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM280,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM225,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"6,243 Sqft",2,2,,"This property is a 6,243 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM22...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM285,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM285,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM430,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,3,2,,"This property is a 0 Sqft condo with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM430,00...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Office
,"3 Bedroom Townhouse for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM398,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Townhouse,237 Sqft,3,2,,"This property is a 237 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this townhouse for a base price o...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"Land for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM35,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Land,"43,559 Sqft",,,,"This property is a 43,559 Sqft land plot that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this land for a base price of RM35,000 (RM1/Sqft).",en,"Property,Malaysia,For Sale",
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM300,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM300,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM295,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM295,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"5 Bedroom Villa for sale in Ulu Kinta, Perak","RM738,000","Ulu Kinta, Kinta, Perak, Malaysia",,Villa,"2,239 Sqft",5,5,,"This property is a 2,239 Sqft villa with 5 bedrooms and 5 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2025. You can buy this villa for a...",en,"Property,Malaysia,For Sale",
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM250,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"6,674 Sqft",2,2,,"This property is a 6,674 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM25...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM246,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM246,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM285,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"7,804 Sqft",2,2,,"This property is a 7,804 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM28...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM270,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM270,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Apartment for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM295,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Apartment,N/A,2,2,,"This property is a 0 Sqft apartment with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this apartment for a base price of...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM248,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM248,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM240,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,500 Sqft,2,1,,"This property is a 500 Sqft condo with 2 bedrooms and 1 bathroom that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM240,0...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM318,009","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,N/A,2,2,,"This property is a 0 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM318,00...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM240,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,500 Sqft,2,1,,"This property is a 500 Sqft condo with 2 bedrooms and 1 bathroom that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM240,0...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM240,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,500 Sqft,2,1,,"This property is a 500 Sqft condo with 2 bedrooms and 1 bathroom that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM240,0...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM249,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM249,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM245,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"6,997 Sqft",2,2,,"This property is a 6,997 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM24...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM248,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"6,512 Sqft",2,2,,"This property is a 6,512 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM24...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM255,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM255,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM240,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,500 Sqft,2,2,,"This property is a 500 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM240,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM300,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM300,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM248,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"6,512 Sqft",2,2,,"This property is a 6,512 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM24...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM200,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,600 Sqft,2,2,,"This property is a 600 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM200,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM260,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,700 Sqft,2,2,,"This property is a 700 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM260,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
